,high_price,low_price,open_price,close_price,average_price,volume,buy_volume,sell_volume,average_price_last_3h,average_price_last_1h,hour,dayahead
2024-03-25 10:00:00+01:00,70.05,52.19,70.0,64.98,65.22,645.4,201.2,512.5,64.56,,10,70.05
2024-03-25 11:00:00+01:00,65.87,46.22,63.64,61.0,60.85,948.6,303.6,675.0,60.11,,11,63.66
2024-03-25 12:00:00+01:00,68.01,55.2,61.09,62.11,60.82,1052.4,439.3,628.1,61.37,,12,61.85
2024-03-25 13:00:00+01:00,68.23,54.7,59.32,65.69,61.84,1358.6,712.2,734.7,63.84,,13,63.22
2024-03-25 14:00:00+01:00,74.5,50.92,66.95,64.21,63.4,1557.6,721.4,909.1,65.48,,14,64.52
2024-03-25 15:00:00+01:00,75.97,62.1,62.1,65.64,69.72,1430.7,938.5,596.0,69.45,,15,73.97
2024-03-25 16:00:00+01:00,85.6,59.31,81.73,63.0,73.98,1687.2,1086.0,708.2,69.28,,16,81.05
2024-03-25 17:00:00+01:00,155.5,90.55,103.95,97.49,121.02,2393.7,1404.2,1169.9,105.33,,17,111.88
2024-03-25 18:00:00+01:00,262.09,133.51,166.82,135.01,187.39,1679.3,915.3,985.4,167.89,,18,174.7
2024-03-25 19:00:00+01:00,213.74,132.62,149.98,141.0,163.25,1681.2,905.5,936.3,144.4,,19,149.75
2024-03-25 20:00:00+01:00,150.0,91.11,101.9,106.0,104.81,1909.7,1017.5,999.2,100.41,,20,102.73
2024-03-25 21:00:00+01:00,150.0,52.4,70.08,100.77,86.54,1327.0,845.3,569.5,90.33,,21,82.39
2024-03-25 22:00:00+01:00,150.0,71.79,75.95,77.0,81.11,1171.2,767.6,431.1,81.44,,22,79.56
2024-03-25 23:00:00+01:00,150.0,68.47,71.14,76.49,76.89,1073.4,633.6,475.4,76.78,,23,74.74
2024-03-26 00:00:00+01:00,150.0,69.19,150.0,75.21,74.98,846.9,552.8,317.7,73.42,,0,79.9
2024-03-26 01:00:00+01:00,150.0,63.52,150.0,70.0,69.08,590.6,463.5,129.4,66.78,,1,73.3
2024-03-26 02:00:00+01:00,150.0,57.3,150.0,63.71,64.24,620.7,470.8,160.0,62.82,,2,68.91
2024-03-26 03:00:00+01:00,150.0,55.7,150.0,58.7,63.79,934.0,663.0,331.5,62.39,,3,67.98
2024-03-26 04:00:00+01:00,74.05,57.15,68.95,67.96,64.49,1005.7,672.1,371.5,64.28,,4,70.07
2024-03-26 05:00:00+01:00,74.0,56.91,74.0,66.19,67.33,773.4,525.8,353.8,67.46,,5,72.28
2024-03-26 06:00:00+01:00,81.76,63.6,78.38,80.01,72.43,2670.4,1674.3,1926.3,76.35,,6,80.38
2024-03-26 07:00:00+01:00,86.69,74.0,76.25,83.34,80.48,1245.6,789.3,678.1,82.72,,7,79.2
2024-03-26 08:00:00+01:00,82.12,68.4,74.0,73.83,77.58,796.6,427.9,383.7,79.18,,8,72.1
2024-03-26 09:00:00+01:00,80.0,55.02,55.02,78.29,71.41,1083.8,619.1,515.6,73.01,,9,62.0
2024-03-26 10:00:00+01:00,71.6,45.61,45.61,64.29,61.77,1260.0,616.5,679.0,64.01,,10,49.5
2024-03-26 11:00:00+01:00,86.49,46.01,49.72,72.0,63.79,1538.5,870.6,845.0,65.63,,11,49.35
2024-03-26 12:00:00+01:00,82.75,38.75,46.05,65.0,62.02,2565.4,1154.8,1572.9,64.7,,12,48.47
2024-03-26 13:00:00+01:00,73.82,42.03,45.78,54.98,59.79,2538.1,1126.1,1552.7,62.4,,13,45.94
2024-03-26 14:00:00+01:00,74.59,32.15,42.12,64.5,60.47,2389.4,994.0,1512.9,64.74,,14,37.1
2024-03-26 15:00:00+01:00,70.34,53.86,57.79,58.11,61.99,3004.4,1831.5,1697.1,64.2,,15,51.93
2024-03-26 16:00:00+01:00,79.46,60.21,62.1,72.56,66.66,3762.2,3401.7,2952.4,71.75,,16,66.9
2024-03-26 17:00:00+01:00,78.0,59.13,64.01,59.13,65.89,4010.8,3401.8,3269.9,70.27,,17,66.59
2024-03-26 18:00:00+01:00,90.13,53.63,61.81,62.0,62.96,4365.6,3450.1,3562.7,62.82,,18,63.43
2024-03-26 19:00:00+01:00,89.19,55.2,59.58,59.96,60.1,4242.2,3453.8,3488.7,60.03,,19,61.64
2024-03-26 20:00:00+01:00,73.6,53.41,55.63,58.0,57.07,3736.3,3058.9,3027.3,59.65,,20,58.36
2024-03-26 21:00:00+01:00,77.16,52.94,55.52,58.01,55.91,3522.9,2944.2,2937.2,58.38,,21,58.01
